Time (s),USB Avg Current (mA)
1996.0032,28.782
1996.0034,28.71
1996.0036,29.892
1996.0038,28.65
1996.0040,29.511
1996.0042,28.68
1996.0044,28.64
1996.0046,29.838
1996.0048,28.72
1996.0050,29.467
1996.0052,28.689
1996.0054,28.671
1996.0056,29.88
1996.0058,28.668
1996.0060,29.403
1996.0062,28.7
1996.0064,28.635
1996.0066,29.838
1996.0068,28.716
1996.0070,29.443
1996.0072,28.683
1996.0074,28.725
1996.0076,29.876
1996.0078,28.698
1996.0080,29.516
1996.0082,28.737
1996.0084,28.663
1996.0086,28.675
1996.0088,29.568
1996.0090,28.754
1996.0092,28.654
1996.0094,29.799
1996.0096,28.755
1996.0098,29.556
1996.0100,28.742
1996.0102,28.692
1996.0104,29.789
1996.0106,28.661
1996.0108,29.538
1996.0110,28.742
1996.0112,28.701
1996.0114,29.87
1996.0116,29.535
1996.0118,28.731
1996.0120,28.665
1996.0122,29.868
1996.0124,28.711
1996.0126,29.431
1996.0128,28.695
1996.0130,28.743
1996.0132,29.85
1996.0134,28.721
1996.0136,29.522
1996.0138,28.717
1996.0140,28.737
1996.0142,29.83
1996.0144,28.712
1996.0146,29.564
1996.0148,28.654
1996.0150,28.743
1996.0152,29.892
1996.0154,28.677
1996.0156,29.526
1996.0158,28.737
1996.0160,28.677
1996.0162,29.908
1996.0164,28.662
1996.0166,29.487
1996.0168,28.687
1996.0170,28.679
1996.0172,29.836
1996.0174,28.627
1996.0176,29.508
1996.0178,28.659
1996.0180,28.725
1996.0182,29.907
1996.0184,28.635
1996.0186,29.541
1996.0188,28.648
1996.0190,28.619
1996.0192,29.907
1996.0194,28.668
1996.0196,29.541
1996.0198,28.671
1996.0200,28.728
1996.0202,29.82
1996.0204,28.702
1996.0206,29.502
1996.0208,28.671
1996.0210,28.694
1996.0212,29.829
1996.0214,28.634
1996.0216,29.433
1996.0218,28.723
1996.0220,28.67
1996.0222,29.91
1996.0224,28.653
1996.0226,29.487
1996.0228,28.689
1996.0230,28.737
1996.0232,29.908
1996.0234,28.715
1996.0236,29.53
1996.0238,28.726
1996.0240,28.764
1996.0242,29.888
1996.0244,28.725
1996.0246,29.547
1996.0248,28.716
1996.0250,28.711
1996.0252,29.858
1996.0254,28.739
1996.0256,29.517
1996.0258,28.695
1996.0260,28.671
1996.0262,29.848
1996.0264,28.677
1996.0266,29.457
1996.0268,28.685
1996.0270,29.846
1996.0272,28.718
1996.0274,29.552
1996.0276,28.692
1996.0278,28.671
1996.0280,29.801
1996.0282,28.662
1996.0284,29.476
1996.0286,28.682
1996.0288,28.632
1996.0290,29.845
1996.0292,28.632
1996.0294,29.463
1996.0296,28.629
1996.0298,28.785
1996.0300,29.863
1996.0302,28.68
1996.0304,29.532
1996.0306,28.708
1996.0308,28.746
1996.0310,29.823
1996.0312,28.758
1996.0314,29.462
1996.0316,28.706
1996.0318,28.641
1996.0320,29.834
1996.0322,28.65
1996.0324,29.508
1996.0326,28.614
1996.0328,28.727
1996.0330,29.889
1996.0332,28.683
1996.0334,29.479
1996.0336,28.719
1996.0338,28.749
1996.0340,29.874
1996.0342,28.673
1996.0344,29.491
1996.0346,28.692
1996.0348,28.719
1996.0350,29.78
1996.0352,28.854
1996.0354,29.522
1996.0356,28.727
